id;name;longitude;latitude;radius;type
1;barring;4470.32;24049.99;1241.46;CATASTROFAL
2;aboard although sans;11703.68;13513.81;23348.74;MAJOR
3;handy;23106.93;7784.52;13199.27;MINOR
4;gerbil;28877.79;24671.32;14847.91;MODERAT
5;impure;28947.07;17026.93;2390.79;MODERAT
6;amid upward;6770.02;12830.01;10685.2;MAJOR
7;around contrast promptly;4471.01;26868.91;1243.77;CATASTROFAL
8;sternly;6166.52;24969.1;24395.03;MAJOR
9;hmph;5203.7;30191.56;30096.08;MODERAT
10;scrutinise fooey;12037.03;25222.22;1974.25;MAJOR
